Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
72,MM Trieu,Family obligation fulfillment among Southeast Asian American young adults,45,2016, journals.sagepub.com, Journal of Family Issues,https://journals.sagepub.com/doi/abs/10.1177/0192513x14551174,4
51,M Uy,Tax and race: the impact on Asian Americans,44,2004, HeinOnline, Asian LJ,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/aslj11&section=10,2
58,JX Fan,"Expenditure patterns of Asian Americans: Evidence from the US Consumer Expenditure Survey, 1980–1992",42,1997, Wiley Online Library, Family and Consumer Sciences Research Journal,https://onlinelibrary.wiley.com/doi/abs/10.1177/1077727X970254001,1
49,"J Kim, S Chatterjee, SH Cho",Asset ownership of new Asian immigrants in the United States,37,2012, Springer, Journal of family and economic issues,https://link.springer.com/article/10.1007/s10834-012-9317-0,3
95,MH Jo,The putative political complacency of Asian Americans,36,1984, JSTOR, Political Psychology,https://www.jstor.org/stable/3791229,1
94,"RV Patraporn, D Pfeiffer, P Ong",Building bridges to the middle class: The role of community-based organizations in Asian American wealth accumulation,31,2010, journals.sagepub.com, Economic Development …,https://journals.sagepub.com/doi/abs/10.1177/0891242410366441,2
57,"EWC Chen, GJ Yoo, W Ng",Encyclopedia of Asian American Issues Today:[2 volumes],31,2009, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=SbrOEAAAQBAJ&oi=fnd&pg=PR3&dq=asian+american+housing,+economics&ots=1IIf5KLF8X&sig=xembERyt2LQWA3_9euihMU4W6nM",2
5,"D Listokin, B Listokin",Asian Americans for equality: A case study of strategies for expanding immigrant homeownership,28,2001, Taylor & Francis, Housing Policy Debate,https://www.tandfonline.com/doi/abs/10.1080/10511482.2001.9521398,1
6,"M Kim, D Mar",The economic status of Asian Americans,27,2007, taylorfrancis.com,first …,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203960783-15/economic-status-asian-americans-marlene-kim-mar,1
62,"GS Hong, YE Kao",Emergency fund adequacy of Asian Americans,27,1997, Springer, Journal of Family and Economic Issues,https://link.springer.com/article/10.1023/A:1024920106444,1
50,"D Mar, P Ong",Covid-19's employment disruptions to Asian Americans,26,2020, JSTOR, AAPI Nexus: Asian Americans and Pacific Islanders …,https://www.jstor.org/stable/48794261,4
10,"CA Lee, K Wong, D Pfeiffer",On the front lines of immigrant homeownership: Asian American nonprofits during the great recession,23,2017, journals.sagepub.com, Nonprofit and Voluntary Sector …,https://journals.sagepub.com/doi/abs/10.1177/0899764017713726,3
32,"SX Wang, I Takei, A Sakamoto",Do Asian Americans face labor market discrimination? Accounting for the cost of living among native-born men and women,22,2017, journals.sagepub.com, Socius,https://journals.sagepub.com/doi/abs/10.1177/2378023117741724,2
15,F Ng,"Asian American issues relating to labor, economics, and socioeconomic status",21,2014, api.taylorfrancis.com,,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315051956&type=googlepdf,2
75,"J Matthaei, T Amott","Race, gender, work: The history of Asian and Asian-American women",21,1990, journals.sagepub.com, Race & Class,https://journals.sagepub.com/doi/abs/10.1177/030639689003100304,1
68,"DC Fujino, RM Rodriguez",Contemporary Asian American activism: Building movements for liberation,20,2022, books.google.com,,"https://books.google.com/books?hl=en&lr=&id=o_pbEAAAQBAJ&oi=fnd&pg=PP1&dq=asian+american+housing,+economics&ots=ZQfKKvnWuk&sig=YtlfOu8M6p6fnGYaE3y-iLfnriU",5
78,"R McGarity-Palmer, A Saw, AJY Horse, SS Yi…","Profiles of a COVID-19 syndemic: Anti-Asian racism, economic challenges, and mental and physical health",19,2024, Springer, Journal of Racial and …,https://link.springer.com/article/10.1007/s40615-023-01519-3,10
8,"P Ong, RV Patraporn",Asian Americans and wealth,19,2006, books.google.com, … and Communities of Color in the United …,"https://books.google.com/books?hl=en&lr=&id=Fkg_DwAAQBAJ&oi=fnd&pg=PA173&dq=asian+american+housing,+economics&ots=sP-D1wweaN&sig=_df_hemhl0TLMbzEYIOzV0i9Qh4",1
18,"D Liu, SR Crull",Housing satisfaction of Asian and Pacific Islander households in the United States,19,2006, Taylor & Francis, Housing and Society,https://www.tandfonline.com/doi/abs/10.1080/08882746.2006.11430526,1
60,PKH Kim,Asian American families and the elderly,18,1990, books.google.com, Minority aging: Essential curricula content for selected …,"https://books.google.com/books?hl=en&lr=&id=MKYT4i-TFYAC&oi=fnd&pg=PA349&dq=asian+american+housing,+economics&ots=YkgRHhZ7iH&sig=jl0VrWFgJwU5Ptn9GeLS1oPi6Q0",0
4,"JA Burr, JE Mutchler",Housing characteristics of older Asian Americans,18,2012, Springer,cultural gerontology,https://link.springer.com/article/10.1007/s10823-012-9173-2,1
25,"V Reina, C Aiken","Fair Housing: Asian and Latino/a Experiences, Perceptions, and StrategiesFair Housing",18,2021, rsfjournal.org, RSF: The Russell Sage Foundation Journal of the …,https://www.rsfjournal.org/content/7/2/201.abstract,4
27,"CE Weller, JP Thompson",Wealth inequality more pronounced among Asian Americans than among whites,17,2018, Taylor & Francis, Challenge,https://www.tandfonline.com/doi/abs/10.1080/05775132.2018.1443998,2
